"nome","partido","uf","cargo","sequencial"
"ALDO EMANUEL DE OLIVEIRA LUCAS","PEN","AM","DEPUTADO ESTADUAL",40000000473
"ANTÔNIO CESAR DANTAS AMARAL","PEN","AM","DEPUTADO ESTADUAL",40000000474
"RONALDO FERNANDES DA SILVA","PEN","AM","DEPUTADO ESTADUAL",40000000475
"HUDSON CABRAL DE MORAES","PEN","AM","DEPUTADO ESTADUAL",40000000476
"PEDRO BENTES NETO","PEN","AM","DEPUTADO ESTADUAL",40000000477
"OTACILA LEMOS BARRETO","DEM","AM","DEPUTADO ESTADUAL",40000000478
"MICHELLE COSTA MONTEIRO","DEM","AM","DEPUTADO ESTADUAL",40000000479
"ELIZANETE NASCIMENTO DA CUNHA","DEM","AM","DEPUTADO ESTADUAL",40000000480
"CIBELE LIMA PINTO","DEM","AM","DEPUTADO ESTADUAL",40000000481
"ADAIL ALVES CELESTINO","DEM","AM","DEPUTADO ESTADUAL",40000000482
"CLAROMBERTO DE SENA BATISTA","DEM","AM","DEPUTADO ESTADUAL",40000000483
"MARIA DE FATIMA FERNANDES DE OLIVEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000484
"ENY GLEUCE MARIA FRUTUOSO","DEM","AM","DEPUTADO ESTADUAL",40000000485
"ANDRÉ DE SOUZA SANTOS","DEM","AM","DEPUTADO ESTADUAL",40000000486
"JOSÉ MELO DE OLIVEIRA","PROS","AM","GOVERNADOR",40000000487
"JOSÉ HENRIQUE OLIVEIRA","SD","AM","VICE-GOVERNADOR",40000000488
"OMAR JOSE ABDEL AZIZ","PSD","AM","SENADOR",40000000489
"FRANCISCO HELDER CAVALCANTE SOUSA","PR","AM","1º SUPLENTE",40000000490
"LUIS AUGUSTO MITOSO JUNIOR","PSD","AM","2º SUPLENTE",40000000491
"FRANCISCO DE SOUZA","PSC","AM","DEPUTADO ESTADUAL",40000000492
"DAVI FERREIRA DA SILVA","PSC","AM","DEPUTADO ESTADUAL",40000000493
"JULIO CEZAR GUERREIRO DE MENEZES","PSC","AM","DEPUTADO ESTADUAL",40000000494
"EDSON SANTOS DE OLIVEIRA","PSC","AM","DEPUTADO ESTADUAL",40000000495
"WANDERLAN CARDOSO CRISTO","PSC","AM","DEPUTADO ESTADUAL",40000000496
"LUIS RICARDO SALDANHA NICOLAU","PSD","AM","DEPUTADO ESTADUAL",40000000497
"DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA","PSD","AM","DEPUTADO ESTADUAL",40000000498
"ANDRE LUIZ SIQUEIRA DE SOUZA CRUZ","PSD","AM","DEPUTADO ESTADUAL",40000000499
"FRANCISCO DO NASCIMENTO GOMES","PSD","AM","DEPUTADO ESTADUAL",40000000500
"MARIO BASTOS DOS SANTOS","PSD","AM","DEPUTADO ESTADUAL",40000000501
"MARIA DO ROSARIO MIRANDA DIAS","PSD","AM","DEPUTADO ESTADUAL",40000000502
